ticker,cnpj,codigo_cvm,nome_cvm,setor,status_cvm,observacao
RENT3,16.670.085/0001-55,19739,LOCALIZA RENT A CAR SA,Mobilidade,ATIVO,
MOVI3,21.314.559/0001-66,23825,MOVIDA PARTICIPACOES S.A.,Mobilidade,ATIVO,
ARML3,00.242.184/0001-04,26069,ARMAC LOCACAO LOGISTICA E SERVICOS S.A.,Mobilidade,ATIVO,
MILS3,27.093.558/0001-15,22012,MILLS LOCACAO SERVICOS E LOGISTICA S.A.,Mobilidade,ATIVO,
GGPS3,09.229.201/0001-30,25712,GPS PARTICIPACOES E EMPREENDIMENTOS S/A,Mobilidade,ATIVO,
VAMO3,23.373.000/0001-32,24716,VAMOS LOCACAO DE CAMINHOES MAQUINAS E EQUIPAMENTOS S.A.,Mobilidade,ATIVO,
JSLG3,52.548.435/0001-79,22020,JSL S.A.,Mobilidade,ATIVO,
SIMH3,07.415.333/0001-20,25003,SIMPAR S.A.,Mobilidade,ATIVO,
RAIL3,02.387.241/0001-60,17450,RUMO S.A.,Infraestrutura,ATIVO,
HBSA3,12.648.327/0001-53,22675,HIDROVIAS DO BRASIL S.A.,Infraestrutura,ATIVO,
ECOR3,08.873.873/0001-10,21903,ECORODOVIAS CONCESSOES E SERVICOS S/A,Infraestrutura,ATIVO,
TGMA3,02.351.144/0001-18,20800,TEGMA GESTAO LOGISTICA SA,Infraestrutura,ATIVO,
MOTV3,02.846.056/0001-97,18821,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,Transporte,ATIVO,
POMO4,88.611.835/0001-29,8451,MARCOPOLO SA,Transporte,ATIVO,
POMO3,88.611.835/0001-29,8451,MARCOPOLO SA,Transporte,ATIVO,mesma empresa POMO4
FRAS3,88.610.126/0001-29,6211,FRASLE MOBILITY S.A.,Industrial,ATIVO,
WEGE3,84.429.695/0001-11,5410,WEG SA,Industrial,ATIVO,
MYPK3,61.156.113/0001-75,11932,IOCHPE MAXION SA,Industrial,ATIVO,
INTB3,82.901.000/0001-27,25453,INTELBRAS S.A. IND. DE TELECOMUNICACAO ELETRONICA BRASILEIRA,Industrial,ATIVO,
TUPY3,84.683.374/0001-49,6343,TUPY SA,Industrial,ATIVO,
LEVE3,60.476.884/0001-87,8575,MAHLE METAL LEVE S.A.,Industrial,ATIVO,
RAPT4,89.086.144/0001-16,14109,RANDONCORP S.A.,Industrial,ATIVO,
RAPT3,89.086.144/0001-16,14109,RANDONCORP S.A.,Industrial,ATIVO,mesma empresa RAPT4
KEPL3,91.983.056/0001-69,7870,KEPLER WEBER SA,Industrial,ATIVO,
PRNR3,18.593.815/0001-97,24236,PRINER SERVICOS INDUSTRIAIS S.A.,Industrial,ATIVO,
AMOB3,35.654.688/0001-08,27707,AUTOMOB PARTICIPACOES S.A.,Industrial,ATIVO,
VTRU3,20.512.706/0001-40,27057,VITRU EDUCACAO S.A.,Educacao,ATIVO,
AZUL4,09.305.994/0001-29,24112,AZUL S.A.,Aviacao,ATIVO,
EMBR3,07.689.002/0001-89,20087,EMBRAER S.A.,Aviacao,ATIVO,
JALL3,02.635.522/0001-95,25496,JALLES MACHADO S.A.,Agro,ATIVO,
HYPE3,02.932.074/0001-91,21431,HYPERA S/A,Saude,ATIVO,
RDOR3,06.047.087/0001-39,24821,REDE D OR SAO LUIZ S.A.,Saude,ATIVO,
HAPV3,05.197.443/0001-38,24392,HAPVIDA PARTICIPACOES E INVESTIMENTOS S.A.,Saude,ATIVO,
FLRY3,60.840.055/0001-31,21881,FLEURY SA,Saude,ATIVO,
BLAU3,58.430.828/0001-60,24627,BLAU FARMACEUTICA S.A.,Saude,ATIVO,
KRSA3,13.270.520/0001-66,25879,KORA SAUDE PARTICIPACOES S.A.,Saude,ATIVO,
ONCO3,12.104.241/0004-02,26123,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.,Saude,ATIVO,
MATD3,16.676.520/0001-59,25690,HOSPITAL MATER DEI S.A.,Saude,ATIVO,
VVEO3,12.420.164/0001-57,25682,CM HOSPITALAR S.A.,Saude,ATIVO,
QUAL3,11.992.680/0001-93,22497,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Saude,ATIVO,
SAUD3,58.119.199/0001-51,20125,BRADSAUDE S.A.,Saude,ATIVO,ex-Odontoprev (ODPV3)
DASA3,61.486.650/0001-83,19623,DIAGNOSTICOS DA AMERICA SA,Saude,ATIVO,
VITT3,45.365.558/0001-09,25763,VITTIA S.A.,Saude,ATIVO,
YDUQ3,08.807.432/0001-10,21016,YDUQS PARTICIPACOES S.A.,Educacao,ATIVO,
ANIM3,09.288.252/0001-32,23248,ANIMA HOLDING S/A,Educacao,ATIVO,
SEER3,04.986.320/0001-13,23221,SER EDUCACIONAL S.A.,Educacao,ATIVO,
COGN3,02.800.026/0001-40,17973,COGNA EDUCACAO S.A.,Educacao,ATIVO,
CSED3,62.984.091/0001-02,25526,CRUZEIRO DO SUL EDUCACIONAL S.A.,Educacao,ATIVO,
CVCB3,10.760.260/0001-19,23310,CVC BRASIL OPERADORA E AGENCIA DE VIAGENS SA,Turismo,ATIVO,
CSAN3,50.746.577/0001-15,19836,COSAN S.A.,Energia,ATIVO,
SLCE3,89.096.457/0001-55,20745,SLC AGRICOLA SA,Agro,ATIVO,
TTEN3,94.813.102/0001-70,25950,TRES TENTOS AGROINDUSTRIAL S.A.,Agro,ATIVO,
SOJA3,10.807.374/0001-77,25704,BOA SAFRA SEMENTES S.A,Agro,ATIVO,
SMTO3,51.466.860/0001-56,20516,SAO MARTINHO SA,Agro,ATIVO,
RAIZ4,08.070.508/0001-78,23230,RAIZEN ENERGIA S.A.,Agro,ATIVO,
